Book,Price,Link
Caffeine,$16.72,https://www.audible.com/search?searchAuthor=Professor+Don+Lincoln&ref=a_search_c3_lAuthor_1_2_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
A Short History of Nearly Everything,$8.95,https://www.audible.com/author/The-Great-Courses/B06XPWVHFB?ref=a_search_c3_lAuthor_1_2_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Theory of Everything: The Quest to Explain All Reality,Free with Plus trial,https://www.audible.com/search?searchNarrator=Professor+Don+Lincoln&ref=a_search_c3_lNarrator_1_2_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Breath,$22.92,https://www.audible.com/pd/Understanding-the-Inventions-That-Changed-the-World-Audiobook/1682769984?qid=1692093044&sr=1-3&ref=a_search_c3_lProduct_1_3&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of Mindfulness,$30.41,https://www.audible.com/pd/Understanding-the-Inventions-That-Changed-the-World-Audiobook/1682769984?qid=1692093044&sr=1-3&ref=a_search_c3_lProduct_1_3&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Sapiens,Free with Plus trial,https://www.audible.com/search?searchAuthor=W.+Bernard+Carlson&ref=a_search_c3_lAuthor_1_3_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
How to Change Your Mind,$14.95,https://www.audible.com/author/The-Great-Courses/B06XPWVHFB?ref=a_search_c3_lAuthor_1_3_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of Energy,$30.41,https://www.audible.com/search?searchNarrator=W.+Bernard+Carlson&ref=a_search_c3_lNarrator_1_3_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
What If?,$16.00,https://www.audible.com/pd/The-Science-of-Storytelling-Audiobook/1690585072?qid=1692093044&sr=1-4&ref=a_search_c3_lProduct_1_4&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Algorithms to Live By,$22.50,https://www.audible.com/pd/The-Science-of-Storytelling-Audiobook/1690585072?qid=1692093044&sr=1-4&ref=a_search_c3_lProduct_1_4&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
12 Essential Scientific Concepts,$30.41,https://www.audible.com/author/Will-Storr/B0034PDIJI?ref=a_search_c3_lAuthor_1_4_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Unf*ck Your Anger,Free with Plus trial,https://www.audible.com/search?searchNarrator=James+Clamp&ref=a_search_c3_lNarrator_1_4_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Body by Science,$21.29,https://www.audible.com/pd/The-Science-of-Getting-Rich-Audiobook/B002V0TKP8?qid=1692093044&sr=1-5&ref=a_search_c3_lProduct_1_5&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of Getting Rich,Free with Plus trial,https://www.audible.com/pd/The-Science-of-Getting-Rich-Audiobook/B002V0TKP8?qid=1692093044&sr=1-5&ref=a_search_c3_lProduct_1_5&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Character of Physical Law,$22.61,https://www.audible.com/author/Wallace-D-Wattles/B000APTE70?ref=a_search_c3_lAuthor_1_5_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Pandora&rsquo;s Lab,$30.41,https://www.audible.com/search?searchNarrator=Jim+Roberts&ref=a_search_c3_lNarrator_1_5_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Starry Messenger,Free with Plus trial,https://www.audible.com/pd/Why-We-Sleep-Audiobook/B0752ZQR33?qid=1692093044&sr=1-6&ref=a_search_c3_lProduct_1_6&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Biology: The Science of Life,$15.20,https://www.audible.com/pd/Why-We-Sleep-Audiobook/B0752ZQR33?qid=1692093044&sr=1-6&ref=a_search_c3_lProduct_1_6&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Data Science for Business,Free with Plus trial,https://www.audible.com/author/Matthew-Walker/B075SGBD58?ref=a_search_c3_lAuthor_1_6_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of Rapid Skill Acquisition (Second Edition),$17.19,https://www.audible.com/search?searchNarrator=Steve+West&ref=a_search_c3_lNarrator_1_6_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of Interstellar,Free with Plus trial,https://www.audible.com/pd/Caffeine-Audiobook/B083MVZ91Y?qid=1692093044&sr=1-7&ref=a_search_c3_lProduct_1_7&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Are We Smart Enough to Know How Smart Animals Are?,$9.95,https://www.audible.com/pd/Caffeine-Audiobook/B083MVZ91Y?qid=1692093044&sr=1-7&ref=a_search_c3_lProduct_1_7&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Philosophy of Science,Free with Plus trial,https://www.audible.com/author/Michael-Pollan/B000AQ74HQ?ref=a_search_c3_lAuthor_1_7_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Evolve Your Brain,$18.24,https://www.audible.com/search?searchNarrator=Michael+Pollan&ref=a_search_c3_lNarrator_1_7_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Braiding Sweetgrass,Free with Plus trial,https://www.audible.com/pd/A-Short-History-of-Nearly-Everything-Audiobook/B002V0KFPW?qid=1692093044&sr=1-8&ref=a_search_c3_lProduct_1_8&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Whole,$18.24,https://www.audible.com/pd/A-Short-History-of-Nearly-Everything-Audiobook/B002V0KFPW?qid=1692093044&sr=1-8&ref=a_search_c3_lProduct_1_8&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The History of Science: 1700-1900,Free with Plus trial,https://www.audible.com/author/Bill-Bryson/B000APXTVM?ref=a_search_c3_lAuthor_1_8_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Meaning of it All,$14.99,https://www.audible.com/search?searchNarrator=Richard+Matthews&ref=a_search_c3_lNarrator_1_8_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
"The Science Fiction Hall of Fame, Vol. 1, 1929-1964",$52.16,https://www.audible.com/pd/The-Theory-of-Everything-The-Quest-to-Explain-All-Reality-Audiobook/1629976083?qid=1692093044&sr=1-9&ref=a_search_c3_lProduct_1_9&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
